Marca,RazonSocial,NIT,Categoria_BAV,Macrosector_Fin,En_BAV,Monobrand,BavScore_x10,Patron_BAV,Tensity_Diferenciacion,TotalSearch_Relevancia,Brandconomics_Estima,GrowthStrategy_CX,LoyaltyStrategy_Conocimiento,Ingresos2024_COP_T,Ingresos2023_COP_T,TotalActivos2024_COP_T,Ganancia2024_COP_T,TotalPasivos2024_COP_T,Patrimonio2024_COP_T,Fuente,Nota_Cruce,_ratio,Commerce_Ratio,Commerce_KPI,BavPulse_Raw,BavPulse_KPI,eDif_Raw,eRel_Raw,eEst_Raw,eFam_Raw,eDif_KPI,eRel_KPI,eEst_KPI,eFam_KPI,GT_Raw,GT_KPI,Wiki_Raw,Wiki_KPI,Social_Raw,Social_KPI,eDif_Digital_Raw,eDif_Digital_KPI,eRel_Digital_Raw,eRel_Digital_KPI,eEst_Digital_Raw,eEst_Digital_KPI,eFam_Digital_Raw,eFam_Digital_KPI,BAV_Pulse_Digital_KPI,BrandAsset_Raw,BrandAsset_KPI,Paris_Raw,Prefer_gap_CX,Prefer_U_pct,UseReg_U_pct,WNC_nU_pct,Stature_U,Stature_nU,CX_KPI,NPS_Raw,Loyalty_KPI,BX_Score,CO_Score,CX_Score
Postobón,POSTOBON S.A.,890903939,Bebidas,MANUFACTURA,SI,True,86.8,Medio,77.8,76.5,89.7,93.2,96.7,2.8467004299,2.9373836517,3.3808317184,0.0440745801,1.8289060593,1.5519256592,Supersociedades – master_top1000_estados_financieros 2024,,0.8420118677918754,0.842,32.1,20.3,36.6,77.8,76.5,89.7,96.7,72.2,78.5,87.3,92.4,0.5,2.4,30.0,65.4,30.4,66.7,84.6,77.8,12.5,28.4,44.8,19.8,73.5,69.1,48.8,84.76,92.3,-0.0292,0.17,24.5,31.2,7.8,4.118,4.089,70.0,56.26,60.8,70.5,32.1,65.4
Colombiana Postobón,POSTOBON S.A.,890903939,Bebidas,MANUFACTURA,SI,False,82.7,Medio,73.8,71.8,80.7,89.3,97.8,2.8467004299,2.9373836517,3.3808317184,0.0440745801,1.8289060593,1.5519256592,Supersociedades – master_top1000_estados_financieros 2024,Sub-marca Postobón,0.8420118677918754,0.842,32.1,2.2,2.4,73.8,71.8,80.7,97.8,63.3,65.8,68.4,96.2,2.5,11.0,0.0,29.6,4.0,2.5,86.0,84.0,1.6,1.2,40.8,14.8,61.0,29.6,32.4,80.42,83.3,-0.007,0.23,23.4,30.1,11.0,3.683,3.676,28.7,53.79,54.4,57.8,32.1,41.5
Manzana Postobón,POSTOBON S.A.,890903939,Bebidas,MANUFACTURA,SI,False,76.1,Medio,90.1,63.3,55.2,75.7,96.1,2.8467004299,2.9373836517,3.3808317184,0.0440745801,1.8289060593,1.5519256592,Supersociedades – master_top1000_estados_financieros 2024,Sub-marca Postobón,0.8420118677918754,0.842,32.1,5.4,11.0,90.1,63.3,55.2,96.1,89.9,46.8,43.0,89.9,3.0,13.4,0.0,29.6,13.2,29.6,80.4,63.0,5.3,8.6,68.0,46.9,57.5,19.8,34.6,74.16,67.9,0.0021,0.23,22.9,31.6,11.5,2.722,2.724,13.8,47.99,34.2,51.2,32.1,24.0
Quatro,POSTOBON S.A.,890903939,Bebidas,MANUFACTURA,SI,False,60.0,Fuerza sin entrega,89.1,64.6,25.9,48.7,71.4,2.8467004299,2.9373836517,3.3808317184,0.0440745801,1.8289060593,1.5519256592,Supersociedades – master_top1000_estados_financieros 2024,Sub-marca Postobón,0.8420118677918754,0.842,32.1,5.0,7.9,89.1,64.6,25.9,71.4,88.6,49.4,11.4,45.6,1.9,6.7,0.0,29.6,13.2,29.6,68.5,16.0,5.3,8.6,82.0,69.1,52.5,6.2,25.0,57.12,46.2,-0.0259,0.16,19.8,26.9,12.7,1.714,1.688,65.0,50.44,44.3,35.6,32.1,54.6
Coca-Cola,Coca-Cola Bebidas de Colombia,830047819,Bebidas,COMERCIO,SI,True,92.2,Medio,96.3,71.9,96.0,97.7,99.4,0.5373360515,0.6188868284,0.2969440222,0.0259150602,0.2399036735,0.0570403486,Supersociedades – master_top1000_estados_financieros 2024,,1.8095533545985625,1.8096,75.3,65.7,85.4,96.3,71.9,96.0,99.4,98.7,67.1,96.2,100.0,61.0,56.1,100.0,100.0,36.0,80.2,98.6,100.0,51.0,59.3,67.0,45.7,100.0,100.0,76.2,90.16,96.2,-0.0598,0.37,43.3,46.8,11.2,5.129,5.069,95.0,62.82,77.2,86.2,75.3,86.1
Bavaria,BAVARIA & CIA S.C.A,860005224,Cervezas,MANUFACTURA,SI,True,,,,,,,,8.6157741547,8.0129432678,13.6144351959,2.3062546253,9.470246315,4.1441893578,Supersociedades – master_top1000_estados_financieros 2024,"Holding Bavaria: Águila, Club Colombia, Poker, Corona, Budweiser, Stella",0.632841100693964,0.6328,14.8,7.6,15.9,,,,,,,,,2.8,12.2,0.1,32.1,20.0,49.4,79.0,50.6,9.7,21.0,73.2,54.3,64.0,40.7,41.6,,,-0.0543,,,0.0,0.0,4.33,4.276,91.2,,,41.6,14.8,91.2
Aguila,CERVECERIA DEL VALLE SAS,900136638,Cervezas,MANUFACTURA,SI,False,69.9,Medio,70.5,54.6,59.9,74.7,89.5,1.5268064737,1.3524198532,1.7506835461,0.4532254934,0.9369008541,0.8137826324,Supersociedades – master_top1000_estados_financieros 2024,Águila = marca Bavaria; Cervecería del Valle es planta Cali,0.8721201939101265,0.8721,38.3,42.9,63.4,70.5,54.6,59.9,89.5,58.2,39.2,46.8,75.9,52.1,48.8,25.0,64.2,51.6,93.8,80.4,63.0,51.9,61.7,73.2,54.3,70.2,56.8,59.0,67.4,57.7,-0.024,0.39,28.8,31.9,13.5,2.78,2.756,61.3,53.02,51.9,58.4,38.3,56.6
Corona (beer),BAVARIA & CIA S.C.A,860005224,Cervezas,MANUFACTURA,SI,False,81.8,Medio,90.4,71.4,81.7,82.4,83.0,8.6157741547,8.0129432678,13.6144351959,2.3062546253,9.470246315,4.1441893578,Supersociedades – master_top1000_estados_financieros 2024,Sub-marca Bavaria,0.632841100693964,0.6328,14.8,30.3,48.8,90.4,71.4,81.7,83.0,91.1,63.3,70.9,64.6,0.9,3.7,70.0,87.7,20.0,49.4,91.6,96.3,8.5,19.8,96.8,96.3,88.5,88.9,75.3,81.34,87.2,-0.029,0.15,35.6,33.2,10.4,3.354,3.325,68.8,65.3,79.7,81.2,14.8,74.2
Club Colombia,BAVARIA & CIA S.C.A,860005224,Cervezas,MANUFACTURA,SI,False,78.7,Medio,77.0,80.7,67.9,78.6,89.4,8.6157741547,8.0129432678,13.6144351959,2.3062546253,9.470246315,4.1441893578,Supersociedades – master_top1000_estados_financieros 2024,Sub-marca Bavaria,0.632841100693964,0.6328,14.8,45.7,65.9,77.0,80.7,67.9,89.4,68.4,83.5,55.7,74.7,74.1,63.4,25.0,64.2,38.0,84.0,84.6,77.8,59.7,69.1,90.0,84.0,68.8,51.9,70.7,78.37,78.2,-0.0187,0.34,37.9,35.6,13.2,2.988,2.969,52.5,73.52,94.9,74.5,14.8,73.7
Poker (beer),BAVARIA & CIA S.C.A,860005224,Cervezas,MANUFACTURA,SI,False,51.8,Débil,39.5,21.7,47.8,65.9,84.1,8.6157741547,8.0129432678,13.6144351959,2.3062546253,9.470246315,4.1441893578,Supersociedades – master_top1000_estados_financieros 2024,Sub-marca Bavaria,0.632841100693964,0.6328,14.8,48.9,70.7,39.5,21.7,47.8,84.1,31.6,5.1,34.2,65.8,100.0,86.0,15.0,51.9,31.6,70.4,73.4,29.6,72.6,80.2,88.0,79.0,63.8,37.0,56.5,43.08,28.2,-0.0124,0.42,23.4,22.9,23.0,2.32,2.307,38.8,50.34,43.0,42.4,14.8,40.9
Budweiser,BAVARIA & CIA S.C.A,860005224,Cervezas,MANUFACTURA,SI,False,58.1,Fuerza sin entrega,67.6,63.5,45.6,53.2,60.8,8.6157741547,8.0129432678,13.6144351959,2.3062546253,9.470246315,4.1441893578,Supersociedades – master_top1000_estados_financieros 2024,Sub-marca Bavaria,0.632841100693964,0.6328,14.8,8.1,20.7,67.6,63.5,45.6,60.8,54.4,48.1,30.4,27.8,17.1,36.6,0.3,35.8,6.8,14.8,86.0,84.0,13.0,30.9,96.8,96.3,71.1,59.3,67.6,58.74,50.0,-0.0215,0.13,14.9,19.3,16.8,1.954,1.933,56.2,45.53,27.8,58.8,14.8,42.0
Stella Artois,BAVARIA & CIA S.C.A,860005224,Cervezas,MANUFACTURA,SI,False,48.1,Fuerza sin entrega,84.1,52.3,39.2,34.7,30.1,8.6157741547,8.0129432678,13.6144351959,2.3062546253,9.470246315,4.1441893578,Supersociedades – master_top1000_estados_financieros 2024,Sub-marca Bavaria,0.632841100693964,0.6328,14.8,8.3,22.0,84.1,52.3,39.2,30.1,77.2,34.2,21.5,5.1,12.4,30.5,5.6,39.5,6.8,14.8,87.4,86.4,10.2,25.9,96.0,90.1,71.4,61.7,66.0,47.73,30.8,-0.0169,0.09,22.1,17.6,24.7,1.316,1.299,48.8,40.01,21.5,48.4,14.8,35.1
Heineken,CENTRAL CERVECERA DE COLOMBIA SAS,900785905,Cervezas,COMERCIO,SI,True,64.7,Medio,45.1,79.2,58.3,66.4,74.5,0.8867977858,0.8169698715,0.7074736357,-0.0993503332,0.549755156,0.1577184945,Supersociedades – master_top1000_estados_financieros 2024,Central Cervecera de Colombia SAS = JV Heineken–Bavaria,1.2534711416102031,1.2535,56.8,14.7,30.5,45.1,79.2,58.3,74.5,40.5,81.0,45.6,51.9,24.6,37.8,6.3,40.7,13.2,29.6,89.5,92.6,20.0,37.0,49.2,27.2,73.1,67.9,56.2,62.76,53.8,-0.0169,0.18,20.4,21.4,13.2,2.505,2.488,48.8,58.42,65.8,55.0,56.8,57.3
Toyota,AUTOMOTORES TOYOTA COLOMBIA SAS,900780510,Automóviles,COMERCIO,SI,True,90.9,Líder integral,92.7,85.3,98.6,92.2,85.8,4.0282301903,4.1632552147,0.9784473181,0.3522085547,0.6233094335,0.355137825,Supersociedades – master_top1000_estados_financieros 2024,,4.116961757452847,4.117,95.1,74.8,95.1,92.7,85.3,98.6,85.8,93.7,92.4,100.0,70.9,100.0,86.0,90.0,97.5,34.4,75.3,91.6,96.3,73.8,85.2,80.8,64.2,96.0,97.5,85.8,90.44,98.7,-0.0613,0.25,27.9,8.8,10.1,5.011,4.949,96.2,72.15,92.4,92.2,95.1,94.3
Renault,RENAULT SOCIEDAD DE FABRICACION DE AUTOMOTORES S.A.S,860025792,Automóviles,MANUFACTURA,SI,True,84.2,Medio,67.0,81.9,92.5,90.6,88.7,2.4260392189,2.8191800117,1.1846613884,-0.0771251917,1.013363719,0.1712975949,Supersociedades – master_top1000_estados_financieros 2024,,2.0478756568377747,2.0479,77.8,76.0,97.6,67.0,81.9,92.5,88.7,53.2,84.8,93.7,73.4,100.0,86.0,80.0,93.8,48.0,91.4,82.5,69.1,79.2,95.1,96.8,96.3,91.0,93.8,88.6,81.91,88.5,-0.0137,0.41,32.7,21.1,8.7,4.09,4.077,41.2,79.11,97.5,88.5,77.8,69.3
Nissan,"""""""DISTRIBUIDORA NISSAN S.A. _x000D_""""_x000D_""",860001307,Automóviles,COMERCIO,SI,True,80.8,Medio,92.8,66.4,90.9,81.5,72.1,1.7037876844,1.4853339195,1.2723827362,0.0393152609,0.7004830837,0.5718997121,Supersociedades – master_top1000_estados_financieros 2024,,1.3390528147909335,1.3391,64.2,72.7,93.9,92.8,66.4,90.9,72.1,94.9,51.9,89.9,48.1,100.0,86.0,80.0,93.8,38.0,84.0,80.4,63.0,75.2,88.9,78.0,60.5,90.0,92.6,76.2,79.72,82.1,-0.0239,0.36,22.1,10.8,10.9,3.592,3.568,60.0,67.11,81.0,79.2,64.2,70.5
Mazda,MAZDA DE COLOMBIA SAS,900703240,Automóviles,COMERCIO,SI,True,80.0,Medio,84.9,70.5,88.1,81.5,74.8,1.8691416979,1.9212305546,0.6185621619,0.0655993074,0.2911103368,0.3274518251,Supersociedades – master_top1000_estados_financieros 2024,,3.0217524010176606,3.0218,87.7,68.5,86.6,84.9,70.5,88.1,74.8,78.5,60.8,83.5,53.2,100.0,86.0,75.0,90.1,30.4,66.7,86.0,84.0,72.2,79.0,95.2,88.9,87.8,87.7,84.9,79.25,79.5,0.0075,0.4,21.5,9.3,10.0,3.462,3.47,7.5,68.79,82.3,82.2,87.7,44.9
Suzuki,SUZUKI MOTOR DE COLOMBIA SA,891410137,Automóviles,MANUFACTURA,SI,True,75.6,Medio,83.6,71.5,69.5,74.4,79.2,1.1852470636,1.0179537535,1.0418510437,0.144157514,0.2687386572,0.7731123567,Supersociedades – master_top1000_estados_financieros 2024,,1.1376358172956738,1.1376,46.9,72.3,92.7,83.6,71.5,69.5,79.2,75.9,64.6,57.0,58.2,100.0,86.0,75.0,90.1,42.0,88.9,80.4,63.0,76.8,92.6,94.0,86.4,86.2,84.0,81.5,75.74,70.5,-0.0407,0.63,18.6,12.2,11.2,2.838,2.798,80.0,60.55,69.6,76.0,46.9,74.8
Ford,FORD MOTOR COLOMBIA S A S,900780755,Automóviles,COMERCIO,SI,True,76.6,Medio,77.6,72.2,85.5,77.7,69.8,1.0305309296,1.2293324471,0.4054955542,0.0148271797,0.3905363977,0.0149591798,Supersociedades – master_top1000_estados_financieros 2024,,2.5414111669685973,2.5414,80.2,37.7,59.8,77.6,72.2,85.5,69.8,70.9,69.6,77.2,41.8,76.9,67.1,16.2,53.1,20.0,49.4,84.6,77.8,8.0,17.3,98.0,98.8,76.5,74.1,67.0,76.04,73.1,-0.0427,0.12,13.4,6.2,14.7,3.304,3.261,83.8,50.91,46.8,70.0,80.2,65.3
Kia,METROKIA SA,830078966,Automóviles,COMERCIO,SI,False,77.9,Medio,88.5,68.8,87.0,77.5,68.0,1.9010121822,1.1012929678,1.2755075693,0.0642158389,0.8280782104,0.4474292994,Supersociedades – master_top1000_estados_financieros 2024,MetroKia SA = importador exclusivo Kia en Colombia,1.4903966295106172,1.4904,69.1,33.5,54.9,88.5,68.8,87.0,68.0,87.3,55.7,79.7,40.5,74.4,64.6,0.1,32.1,26.0,61.7,82.5,69.1,55.0,64.2,95.2,88.9,69.0,54.3,69.1,77.47,75.6,-0.0197,0.35,20.0,10.6,9.4,3.289,3.269,55.0,63.69,78.5,72.3,69.1,66.8
Hyundai,HYUNDAI COLOMBIA S.A.S.,901489734,Automóviles,COMERCIO,SI,True,69.1,Medio,71.1,59.8,71.7,71.5,71.3,0.6357067227,0.4198328555,0.1882155538,0.0102637904,0.1003920734,0.0878234878,Supersociedades – master_top1000_estados_financieros 2024,,3.3775461690881787,3.3775,92.6,70.7,89.0,71.1,59.8,71.7,71.3,60.8,43.0,59.5,44.3,100.0,86.0,80.0,93.8,32.0,71.6,80.4,63.0,72.8,81.5,63.0,39.5,90.0,92.6,69.2,68.28,59.0,-0.0424,0.7,14.6,8.2,11.4,2.79,2.747,81.2,57.13,64.6,64.1,92.6,72.9
BMW,AUTOGERMANA S.A.S,860509514,Automóviles,COMERCIO,SI,False,77.6,Medio,87.2,62.9,95.4,79.2,63.1,0.9166112542,0.9834742546,0.8461524844,0.0406582393,0.719745338,0.1264071614,Supersociedades – master_top1000_estados_financieros 2024,Autogermana SAS = importador exclusivo BMW y Mini en Colombia,1.0832695892277169,1.0833,45.7,38.6,61.0,87.2,62.9,95.4,63.1,84.8,45.6,94.9,35.4,75.0,65.9,14.7,44.4,26.0,61.7,94.4,97.5,55.4,65.4,80.8,64.2,77.2,75.3,75.6,75.8,71.8,-0.0108,0.4,22.6,5.6,17.9,3.831,3.82,33.8,56.39,62.0,73.7,45.7,47.9
Chevrolet,GENERAL MOTORS - COLMOTORES S.A.,860002304,Automóviles,MANUFACTURA,SI,False,73.5,Erosión activa,25.0,75.5,87.5,89.0,90.4,1.2123627663,2.5712044239,1.3553904295,-0.769318223,1.7446196079,-0.3892291784,Supersociedades – master_top1000_estados_financieros 2024,Chevrolet = marca GM; Colmotores es la entidad jurídica,0.8944749349803491,0.8945,42.0,77.0,98.8,25.0,75.5,87.5,90.4,19.0,77.2,82.3,78.5,100.0,86.0,85.0,96.3,46.0,90.1,79.0,50.6,78.4,93.8,96.8,96.3,92.2,95.1,83.9,62.16,52.6,-0.0456,0.2,22.3,18.1,11.6,3.805,3.759,86.2,62.34,74.7,68.2,42.0,80.5
Rappi,Rappi SAS,900843898,E-commerce,SERVICIOS,SI,True,80.9,Medio,93.8,78.3,64.3,77.5,90.8,0.7031469941,0.5532477498,0.7924762368,0.0972503498,0.6007474065,0.1917288452,Supersociedades – master_top1000_estados_financieros 2024,,0.8872783327097488,0.8873,40.7,71.2,90.2,93.8,78.3,64.3,90.8,96.2,79.7,50.6,79.7,100.0,86.0,50.0,77.8,63.6,100.0,89.5,92.6,85.4,100.0,46.0,22.2,80.0,77.8,73.1,80.92,85.9,-0.0504,0.52,25.1,24.9,11.8,2.898,2.847,90.0,52.35,48.1,79.5,40.7,69.0
Mercado Libre,MERCADOLIBRE COLOMBIA LTDA,830067394,E-commerce,SERVICIOS,SI,True,89.8,Líder integral,85.7,84.9,91.9,92.9,93.8,1.8581854105,1.4519817829,0.6458307505,0.0149849802,0.5509925485,0.0948382318,Supersociedades – master_top1000_estados_financieros 2024,,2.8772018196120253,2.8772,86.4,56.5,81.7,85.7,84.9,91.9,93.8,79.7,91.1,91.1,87.3,63.5,57.3,63.9,84.0,42.0,88.9,89.5,92.6,54.9,63.0,96.8,96.3,87.0,85.2,84.3,88.99,94.9,0.0052,0.21,34.6,34.3,5.5,4.141,4.146,12.5,72.08,91.1,89.6,86.4,51.8
Sura,GRUPO DE INVERSIONES SURAMERICANA S.A.,811012271,Seguros,SERVICIOS,SI,True,82.3,Medio,60.0,83.8,96.8,89.3,81.7,1.2451349497,1.2193889618,30.9646911621,5.3317761421,9.5324783325,21.4322128296,Supersociedades – master_top1000_estados_financieros 2024,,0.0402114441633447,0.0402,0.0,59.3,84.1,60.0,83.8,96.8,81.7,48.1,86.1,97.5,62.0,100.0,86.0,40.0,71.6,38.0,84.0,80.4,63.0,75.2,88.9,42.0,18.5,72.5,66.7,59.3,79.41,80.8,-0.0034,0.21,34.6,46.5,7.5,4.477,4.473,21.2,71.03,87.3,70.0,0.0,54.2
Seguros Bolivar,GRUPO BOLIVAR S. A.,830025448,Seguros,SERVICIOS,SI,True,57.9,Débil,10.5,52.8,88.8,75.4,62.0,1.576099515,1.0913519859,16.6380805969,1.799429059,1.6832101345,14.9548711777,Supersociedades – master_top1000_estados_financieros 2024,,0.0947284457375244,0.0947,2.5,47.7,69.5,10.5,52.8,88.8,62.0,7.6,35.4,84.8,31.6,100.0,86.0,20.0,61.7,23.2,51.9,73.4,29.6,69.3,76.5,38.0,4.9,62.5,34.6,36.4,41.8,25.6,-0.0041,0.27,17.5,29.1,11.4,3.201,3.197,22.5,54.49,55.7,31.0,2.5,39.1
Colpatria,MERCANTIL COLPATRIA SA,830034723,Bancos,SERVICIOS,SI,True,38.9,Débil,4.1,24.0,44.2,55.5,66.8,0.7221480012,,7.6145238876,0.380528003,0.5812100172,7.0333142281,Supersociedades – master_top1000_estados_financieros 2024,,0.0948382343873126,0.0948,3.7,46.4,68.3,4.1,24.0,44.2,66.8,2.5,6.3,29.1,38.0,100.0,86.0,20.0,61.7,19.2,37.0,68.5,16.0,67.7,74.1,36.8,2.5,61.0,29.6,30.5,23.22,5.1,-0.0368,0.24,12.9,17.8,22.4,1.999,1.962,75.0,38.03,17.7,17.8,3.7,46.4
Grupo Aval,GRUPO AVAL ACCIONES Y VALORES S A,800216181,Bancos,COMERCIO,SI,True,44.1,Débil,21.0,19.1,47.0,60.2,73.3,1.3767743111,1.1740900278,20.9402427673,0.9998861551,2.9715390205,17.9687042236,Supersociedades – master_top1000_estados_financieros 2024,,0.0657477721915407,0.0657,1.2,33.2,52.4,21.0,19.1,47.0,73.3,15.2,2.5,31.6,50.6,28.5,39.0,45.0,74.1,26.0,61.7,72.0,23.5,27.5,45.7,55.0,33.3,71.2,60.5,40.8,34.29,16.7,-0.0052,0.19,12.3,29.8,19.2,2.175,2.17,26.2,35.21,10.1,28.8,1.2,18.1
Terpel,ORGANIZACIÓN TERPEL S.A.,830095213,Combustibles,COMERCIO,SI,True,73.8,Medio,50.7,70.7,84.6,82.6,80.6,24.7520122528,23.0482845306,7.9712119102,0.5307559371,4.6218252182,3.349386692,Supersociedades – master_top1000_estados_financieros 2024,,3.1051755406385833,3.1052,90.1,52.9,78.7,50.7,70.7,84.6,80.6,44.3,62.0,74.7,60.8,100.0,86.0,40.0,71.6,18.8,34.6,79.0,50.6,67.5,72.8,90.0,84.0,72.5,66.7,68.5,70.31,64.1,-0.0333,0.24,44.5,46.3,10.5,3.444,3.411,72.5,87.51,100.0,66.3,90.1,86.2
Primax,PRIMAX COLOMBIA S.A.,860002554,Combustibles,COMERCIO,SI,True,38.6,Débil,7.2,37.5,50.0,49.5,48.9,10.5211191177,9.0453796387,2.0426442623,0.1587905288,1.4882880449,0.5543561578,Supersociedades – master_top1000_estados_financieros 2024,,5.150734913505355,5.1507,97.5,44.4,64.6,7.2,37.5,50.0,48.9,3.8,19.0,39.2,17.7,85.3,70.7,20.0,61.7,28.0,64.2,66.4,8.6,62.4,70.4,84.0,74.1,60.0,24.7,44.4,28.5,11.5,0.0056,0.4,25.0,26.5,10.0,1.812,1.818,11.2,62.09,73.4,27.9,97.5,42.3
Biomax,BIOMAX BIOCOMBUSTIBLES S.A.,830136799,Combustibles,COMERCIO,SI,True,30.1,Crítico,15.5,32.5,30.9,34.3,37.6,4.512550354,3.7636322975,1.6102186441,0.104735069,1.0392065048,0.5710121393,Supersociedades – master_top1000_estados_financieros 2024,,2.802445724085006,2.8024,84.0,33.3,53.7,15.5,32.5,30.9,37.6,11.4,12.7,12.7,7.6,65.7,58.5,15.0,51.9,19.2,37.0,68.5,16.0,7.7,14.8,82.0,69.1,56.2,16.0,29.0,27.66,7.7,-0.079,1.23,12.1,16.2,17.2,1.33,1.251,97.5,48.13,35.4,18.4,84.0,66.5
Petrobras,PETROBRAS COLOMBIA COMBUSTIBLES S.A,900047822,Combustibles,COMERCIO,SI,True,23.5,Crítico,8.4,20.2,18.1,29.7,41.2,1.2778656483,1.1169388294,0.229367435,0.0160197802,0.1105999202,0.1187675223,Supersociedades – master_top1000_estados_financieros 2024,,5.571260141179152,5.5713,98.8,19.8,35.4,8.4,20.2,18.1,41.2,6.3,3.8,5.1,8.9,3.6,20.7,45.0,74.1,10.8,16.0,80.4,63.0,6.5,12.3,61.0,37.0,78.8,76.5,47.2,18.86,1.3,-0.0476,0.98,10.5,13.9,18.6,1.188,1.141,87.5,35.91,12.7,24.2,98.8,50.1
Texaco,CHEVRON PETROLEUM COMPANY,860005223,Combustibles,COMERCIO,SI,False,56.7,Débil,0.7,53.7,75.3,76.3,77.4,5.8689861298,5.7209057808,1.6709430218,0.0812610015,1.1079030037,0.5630400181,Supersociedades – master_top1000_estados_financieros 2024,Texaco = marca; operada por Chevron Petroleum en Colombia,3.512379568441368,3.5124,93.8,5.0,7.9,0.7,53.7,75.3,77.4,0.0,38.0,62.0,54.4,1.9,6.7,0.0,29.6,13.2,29.6,77.6,43.2,6.4,11.1,74.0,56.8,65.0,45.7,39.2,21.63,3.8,-0.144,1.45,29.0,28.3,10.4,3.029,2.885,100.0,75.09,96.2,21.5,93.8,98.1
Farmatodo,FARMATODO COLOMBIA SA,830129327,Farmacias,COMERCIO,SI,True,81.2,Medio,53.0,87.2,88.9,88.6,88.3,1.5713480711,1.2436776161,1.0193240643,0.0195559599,0.8593302369,0.1599938571,Supersociedades – master_top1000_estados_financieros 2024,,1.5415588880255575,1.5416,70.4,46.0,67.1,53.0,87.2,88.9,88.3,45.6,94.9,86.1,72.2,100.0,86.0,20.0,61.7,18.0,33.3,75.5,37.0,67.2,71.6,39.2,7.4,64.0,40.7,39.2,77.61,76.9,0.0005,0.16,29.2,27.8,6.8,3.776,3.777,16.2,73.04,93.7,58.1,70.4,55.0
Cruz Verde,DROGUERIAS Y FARMACIAS CRUZ VERDE SAS,800149695,Farmacias,COMERCIO,SI,True,75.0,Medio,44.4,84.1,79.7,82.2,84.7,5.5116462708,5.1494660378,4.145775795,0.0558912382,3.4444048405,0.7013709545,Supersociedades – master_top1000_estados_financieros 2024,,1.329460767619731,1.3295,63.0,49.4,72.0,44.4,84.1,79.7,84.7,39.2,89.9,64.6,68.4,100.0,86.0,15.0,51.9,33.2,74.1,73.4,29.6,73.3,84.0,40.8,14.8,64.8,43.2,42.9,70.86,66.7,-0.0441,0.98,31.8,38.2,10.8,3.301,3.257,85.0,54.51,57.0,54.8,63.0,71.0
Droguerías Olímpica,SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A,890107487,Farmacias,COMERCIO,SI,False,65.5,Erosión activa,14.8,72.0,82.0,80.3,78.5,7.1291923523,7.8825526237,5.7303638458,0.0636537522,3.4788792133,2.2514848709,Supersociedades – master_top1000_estados_financieros 2024,Sub-canal farmacia de Supertiendas Olímpica,1.2441081481283691,1.2441,51.9,7.7,17.1,14.8,72.0,82.0,78.5,10.1,68.4,72.2,57.0,3.2,15.9,0.0,29.6,20.0,49.4,66.4,8.6,9.9,22.2,35.2,0.0,54.0,8.6,9.8,51.18,38.5,-0.1006,0.86,19.2,24.7,11.4,3.252,3.151,98.8,42.37,24.1,24.1,51.9,61.5
Frisby,FRISBY S.A. BIC,891408584,Restaurantes QSR,SERVICIOS,SI,True,97.1,Líder integral,97.3,95.2,98.0,97.6,97.3,0.9699328542,0.8532492518,0.6527582407,0.0630318001,0.4795682728,0.173189953,Supersociedades – master_top1000_estados_financieros 2024,,1.4858990568389772,1.4859,67.9,19.3,34.1,97.3,95.2,98.0,97.3,100.0,98.7,98.7,93.7,7.6,28.0,15.0,51.9,35.2,77.8,89.5,92.6,18.6,35.8,42.0,18.5,66.2,46.9,48.4,96.94,100.0,-0.0297,0.23,40.8,43.3,3.9,5.239,5.209,71.2,71.82,89.9,74.2,67.9,80.6
McDonald's,|ARCOS DORADOS COLOMBIA SAS,800244387,Restaurantes QSR,SERVICIOS,SI,False,72.9,Medio,75.1,55.2,65.3,78.1,90.9,0.7574146986,0.6755391359,0.5542196631,0.00013782,0.4307226241,0.1234970391,Supersociedades – master_top1000_estados_financieros 2024,McDonald's = franquicia de Arcos Dorados,1.3666326711748888,1.3666,66.7,85.5,100.0,75.1,55.2,65.3,90.9,65.8,40.5,51.9,81.0,100.0,86.0,95.0,98.8,61.6,98.8,96.5,98.8,84.6,98.8,100.0,100.0,98.8,98.8,99.1,70.43,65.4,-0.0402,0.18,22.7,23.5,14.7,2.924,2.884,78.8,48.59,39.2,82.2,66.7,59.0
KFC,IRCC S.A.S INDUSTRIA DE RESTAURANTES CASUALES S.A.S,860533413,Restaurantes QSR,SERVICIOS,SI,False,,,,,,,,0.7405496836,0.6956737041,0.5945175886,0.0218063891,0.5130996108,0.0814180002,Supersociedades – master_top1000_estados_financieros 2024,KFC Colombia = IRCC Industria de Restaurantes Casuales SAS,1.245631244222536,1.2456,55.6,22.3,39.0,70.1,80.7,61.6,84.3,57.0,83.5,48.1,67.1,46.8,46.3,0.0,29.6,20.0,49.4,91.6,96.3,36.1,49.4,50.0,29.6,72.5,66.7,60.5,,,,,,,,,,,,,60.5,55.6,
