Marca,RazonSocial,NIT,Categoria_BAV,Macrosector_Fin,En_BAV,Monobrand,BavScore_x10,Patron_BAV,Tensity_Diferenciacion,TotalSearch_Relevancia,Brandconomics_Estima,GrowthStrategy_CX,LoyaltyStrategy_Conocimiento,Ingresos2024_COP_T,Ingresos2023_COP_T,TotalActivos2024_COP_T,Ganancia2024_COP_T,TotalPasivos2024_COP_T,Patrimonio2024_COP_T,Fuente,Nota_Cruce,_ratio,Commerce_Ratio,Commerce_KPI,BavPulse_Raw,BavPulse_KPI,eDif_Raw,eRel_Raw,eEst_Raw,eFam_Raw,eDif_KPI,eRel_KPI,eEst_KPI,eFam_KPI,GT_Raw,GT_KPI,Wiki_Raw,Wiki_KPI,Social_Raw,Social_KPI,eDif_Digital_Raw,eDif_Digital_KPI,eRel_Digital_Raw,eRel_Digital_KPI,eEst_Digital_Raw,eEst_Digital_KPI,eFam_Digital_Raw,eFam_Digital_KPI,BAV_Pulse_Digital_KPI,BrandAsset_Raw,BrandAsset_KPI,Paris_Raw,Prefer_gap_CX,Prefer_U_pct,UseReg_U_pct,WNC_nU_pct,Stature_U,Stature_nU,CX_KPI,NPS_Raw,Loyalty_KPI,BX_Score,CO_Score,CX_Score
Mercado Zapatoca,MERCADO ZAPATOCA S.A.,800106774,Supermercados,COMERCIO,SI,True,32.0,Débil,46.8,31.7,39.0,27.2,15.5,0.8291547894,0.7260370851,0.2956715226,0.0181070492,0.2074186951,0.0882528201,Supersociedades – master_top1000_estados_financieros 2024,,2.8043106150663153,2.8043,85.2,12.5,26.8,46.8,31.7,39.0,15.5,41.8,11.4,20.3,0.0,14.2,34.1,10.0,43.2,13.2,29.6,58.0,0.0,13.8,33.3,74.0,56.8,45.0,1.2,22.8,30.77,14.1,-0.0121,0.21,8.2,10.9,34.6,0.977,0.965,37.5,18.15,0.0,18.4,85.2,18.8
Alkosto,COLOMBIANA DE COMERCIO SA,890900943,Supermercados,COMERCIO,SI,False,82.8,Medio,61.9,87.5,84.5,88.2,91.8,11.8877315521,11.1472349167,5.5494813919,0.4922069907,2.8765022755,2.6729791164,Supersociedades – master_top1000_estados_financieros 2024,Alkosto/Ktronix = operado por Colombiana de Comercio SA,2.14213378018553,2.1421,79.0,26.7,45.1,61.9,87.5,84.5,91.8,49.4,96.2,73.4,82.3,52.9,50.0,1.1,37.0,26.0,61.7,72.0,23.5,42.1,54.3,86.0,76.5,57.8,21.0,43.8,80.51,84.6,-0.005,0.4,21.6,27.5,5.7,3.682,3.677,25.0,53.39,53.2,64.2,79.0,39.1
Claro,COMUNICACIÓN CELULAR S.A.,800153993,Telecomunicaciones,SERVICIOS,SI,True,57.7,Débil,16.5,47.5,52.0,74.8,97.5,15.6020994186,14.8545837402,26.8824272156,0.6926037073,16.9519100189,9.9305181503,Supersociedades – master_top1000_estados_financieros 2024,Claro Colombia opera como Comunicación Celular SA,0.5803828387023783,0.5804,13.6,36.3,57.3,16.5,47.5,52.0,97.5,12.7,29.1,40.5,94.9,77.4,68.3,0.0,29.6,31.6,70.4,77.6,43.2,59.1,67.9,63.0,39.5,70.0,55.6,51.6,44.65,29.5,0.0203,-0.07,26.4,42.5,22.8,2.645,2.665,3.8,56.91,63.3,40.5,13.6,33.5
ETB,EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. E.S.P.,899999115,Telecomunicaciones,SERVICIOS,SI,True,39.6,Débil,28.9,31.1,31.1,46.0,61.0,1.6752717495,1.6055973768,4.1473741531,-0.091207087,2.0703549385,2.0770189762,Supersociedades – master_top1000_estados_financieros 2024,,0.4039355234559196,0.4039,7.4,26.0,43.9,28.9,31.1,31.1,61.0,24.1,8.9,13.9,29.1,58.0,54.9,0.0,29.6,20.0,49.4,65.0,6.2,42.8,55.6,66.0,43.2,55.0,12.3,29.3,36.14,19.2,-0.0072,0.02,10.0,16.3,23.6,1.66,1.653,30.0,35.36,11.4,24.2,7.4,20.7
Movistar,COLOMBIA TELECOMUNICACIONES S.A. E.S.P. - telefonica,830122566,Telecomunicaciones,SERVICIOS,SI,False,59.2,Débil,30.6,51.9,49.2,71.2,93.2,6.6721792221,7.1184382439,14.4863471985,-0.4669573307,10.9635124207,3.5228347778,Supersociedades – master_top1000_estados_financieros 2024,Movistar = marca Telefónica en Colombia,0.4605839643820545,0.4606,8.6,37.4,58.5,30.6,51.9,49.2,93.2,25.3,32.9,36.7,86.1,4.3,25.0,55.0,81.5,52.8,95.1,75.5,37.0,23.7,40.7,48.0,24.7,83.8,81.5,46.0,51.95,41.0,-0.011,0.06,24.2,40.2,19.8,2.48,2.469,36.2,55.46,58.2,43.5,8.6,47.2
Tigo,Colombia Movil S A E S P,830114921,Telecomunicaciones,SERVICIOS,SI,False,55.3,Débil,32.0,44.3,40.7,66.7,92.6,2.9561576843,2.6959371567,5.6678705215,0.3631399274,5.2697196007,0.3981510699,Supersociedades – master_top1000_estados_financieros 2024,Tigo = marca Colombia Móvil SA ESP,0.5215640817986883,0.5216,11.1,55.6,80.5,32.0,44.3,40.7,92.6,26.6,27.8,24.1,84.8,100.0,86.0,40.0,71.6,26.8,63.0,70.6,18.5,70.7,77.8,70.8,50.6,71.0,58.0,51.2,48.08,32.1,-0.0176,0.13,26.2,32.2,17.6,2.235,2.217,51.2,70.68,86.1,41.7,11.1,68.7
Tigo UNE,UNE EPM TELECOMUNICACIONES S.A.,900092385,Telecomunicaciones,SERVICIOS,SI,False,53.4,Débil,38.2,37.3,49.4,63.8,78.2,2.6332006454,2.7929849625,4.9604849815,0.0149472402,4.560590744,0.3998942375,Supersociedades – master_top1000_estados_financieros 2024,Sub-marca UNE EPM,0.5308353225985873,0.5308,12.3,52.0,76.8,38.2,37.3,49.4,78.2,30.4,17.7,38.0,55.7,100.0,86.0,20.0,61.7,36.0,80.2,68.5,16.0,74.4,86.4,53.0,32.1,62.5,34.6,42.3,48.44,34.6,-0.0125,0.05,19.3,30.4,19.4,2.263,2.251,40.0,47.42,31.6,38.5,12.3,35.8
WOM,PARTNERS TELECOM COLOMBIA SAS,901354361,Telecomunicaciones,SERVICIOS,SI,False,28.7,Crítico,37.4,11.5,4.0,31.6,59.2,0.8705090284,0.8736749887,4.3710150719,-1.3426909447,5.9278988838,-1.5568840504,Supersociedades – master_top1000_estados_financieros 2024,WOM = marca Partners Telecom Colombia SAS,0.1991548905873723,0.1992,6.2,52.9,78.7,37.4,11.5,4.0,59.2,29.1,0.0,0.0,26.6,100.0,86.0,20.0,61.7,38.8,85.2,80.4,63.0,75.5,90.1,40.0,11.1,65.0,45.7,52.5,17.86,0.0,-0.0006,0.16,10.4,16.5,30.8,1.043,1.042,17.5,33.22,8.9,26.2,6.2,13.2
Avianca,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA,890100577,Aerolíneas,SERVICIOS,SI,True,75.2,Débil,39.6,70.3,81.3,88.8,96.2,15.1060428619,27.1505146027,22.9524860382,1.0980516672,23.2032852173,-0.2507988811,Supersociedades – master_top1000_estados_financieros 2024,,0.6581440823777823,0.6581,23.5,51.2,74.4,39.6,70.3,81.3,96.2,32.9,59.5,69.6,91.1,57.8,53.7,65.0,86.4,30.8,67.9,82.5,69.1,47.0,58.0,48.8,25.9,87.2,86.4,59.9,68.31,60.3,-0.0269,0.53,31.2,30.6,12.6,3.646,3.619,66.2,62.72,75.9,60.1,23.5,71.1
American Airlines,AMERICAN AIRLINES INC. SUCURSAL COLOMBIANA,800095254,Aerolíneas,SERVICIOS,SI,True,51.0,Débil,22.2,36.8,76.1,65.3,54.6,0.5277807713,1.1604942083,0.1139731109,0.0067601502,0.1052071005,0.0087660104,Supersociedades – master_top1000_estados_financieros 2024,,4.6307481399106045,4.6307,96.3,72.2,91.5,22.2,36.8,76.1,54.6,17.7,15.2,63.3,24.1,100.0,86.0,65.0,86.4,51.6,93.8,79.0,50.6,80.6,96.3,65.0,42.0,88.8,90.1,69.8,42.92,26.9,0.0071,0.41,16.9,10.3,10.6,2.549,2.556,10.0,55.72,59.5,48.3,96.3,34.8
